,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
7771535662,7,6,1,1,1,1,1,1,0,2,0,5,0,3,0,4,0,4,1,0
7773346349,4,5,1,0,4,0,0,3,0,3,0,5,0,1,0,3,0,1,0,0
7773664209,8,5,0,1,5,3,0,6,0,1,1,4,0,1,1,2,0,4,1,0
7781447951,5,5,1,0,4,1,0,2,1,1,0,3,0,1,0,3,0,1,0,0
7788368015,2,3,0,4,4,1,1,9,0,1,2,2,1,2,0,0,0,0,1,0
7848160498,8,10,6,1,9,1,0,5,1,3,1,1,0,0,1,2,1,1,0,0
7861794737,0,1,1,0,1,0,0,1,2,2,0,8,0,4,0,0,0,5,0,0
7861806690,3,5,5,1,10,1,0,1,1,2,0,2,0,0,2,0,0,1,0,0
7866682172,1,1,0,0,1,1,0,2,0,0,0,7,0,7,0,1,0,8,0,0
7872413722,1,1,0,0,3,0,0,1,0,0,0,8,0,5,1,1,0,5,0,0
7891137937,2,2,0,0,3,0,0,4,0,1,0,9,0,5,0,0,0,3,0,0
7891995967,7,7,4,2,7,2,0,4,1,1,1,1,0,0,0,2,0,0,1,0
7900716384,7,8,2,0,2,0,0,0,0,1,0,7,0,4,0,4,0,5,0,0
7906843242,5,2,0,1,4,2,0,4,0,1,1,3,0,0,0,0,0,2,1,0
7910190764,5,5,0,3,4,0,0,5,0,3,0,0,0,0,1,1,0,0,1,0
7916842433,14,13,4,0,7,2,0,2,1,2,0,3,0,2,0,5,0,2,0,0
7920164236,5,4,0,1,2,2,0,2,0,2,0,3,0,1,0,2,0,4,0,0
7929154735,11,9,3,0,5,1,0,3,1,3,0,12,0,5,0,4,0,5,0,0
7941132624,5,8,6,1,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
7949349806,4,3,1,1,3,2,0,4,1,3,1,6,0,4,1,1,0,4,0,0
7971416783,4,5,1,1,3,0,0,2,0,1,0,3,0,1,0,3,1,2,0,0
7981179947,10,7,1,1,5,1,0,2,1,1,0,1,0,1,0,3,0,3,1,0
8002327485,11,6,0,3,6,4,0,13,0,4,0,7,2,3,0,7,0,3,1,0
8009749975,8,8,2,1,2,0,0,2,0,2,0,1,0,0,0,3,1,0,0,0
8013068839,2,1,0,0,2,0,0,2,0,1,0,14,0,7,0,2,0,9,0,0
8027980215,2,6,2,1,7,0,0,4,1,2,0,1,1,0,1,0,0,0,0,0
8036289133,3,0,0,1,3,2,0,5,0,0,0,3,0,0,0,2,1,4,0,0
8046173857,4,4,1,0,5,0,0,1,1,2,0,7,0,4,1,0,0,5,0,0
8051169295,10,5,1,0,4,5,0,7,0,3,0,3,1,1,1,3,0,5,0,0
8063743568,11,5,0,1,6,4,0,10,0,1,1,2,1,1,2,2,0,2,0,0
8088908761,4,4,0,1,4,2,0,6,0,2,0,4,0,1,0,2,0,1,1,0
8089710293,2,6,5,1,5,0,0,3,2,2,1,1,0,0,1,0,0,0,0,0
8096562843,4,5,0,0,2,0,0,3,0,2,0,8,0,7,0,4,0,7,0,0
