movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
missinglinkfilm,0.50535244,0.8332528,0.7182224,0.20350643,0.0,0.43045872,0.41643623,0.39250067,0.32880357,0.5098738,0.5104056,0.71344,0.0,0.26387367,0.3819853,0.4120536,0.36956567,0.671137,0.2973684,0.27732375,0.0,0.07458212,0.56207603,0.0,0.5273482,0.36161783,0.4210672,0.51931196,0.28565815,0.27441266
motherlessbklyn,1.2320796,2.1225743,1.6962664,0.6104573,0.0,1.5866269,0.7446283,1.580069,0.9548279,1.1921916,1.3877411,1.2532542,0.0,1.0078614,0.64764977,0.90014046,0.9163261,1.8152047,0.8749314,0.9153645,0.0,0.24513894,1.2602239,0.0,1.3027653,0.88914466,0.95063305,0.9732024,0.8754071,0.4444557
onceinhollywood,1.1242543,1.7616109,1.5668175,0.661529,0.0,0.8306573,0.7370954,0.65250665,0.7735169,0.80260223,1.2892352,1.4356731,0.0,0.67041075,0.862067,0.9235828,0.89914525,1.2312479,0.42302436,0.67879087,0.0,0.12325423,0.99560225,0.0,0.9865983,0.8768016,0.701869,0.69217634,0.72835827,0.47131974
onthebasisofsex,1.0563782,1.7459053,1.3804002,0.767262,0.0,1.3091141,0.7115488,1.0972412,0.47863197,1.5971979,1.5042844,1.7798649,0.0,0.4367249,1.1518415,0.85423994,0.7732754,1.04639,0.6122639,0.2983456,0.0,0.18504794,0.95921373,0.0,0.8239464,0.93257105,0.9349977,0.95433384,1.0263103,0.4964775
overcomermovie,0.5022406,0.9267572,0.8932083,0.2735397,0.0,0.49809352,0.42450514,0.4283267,0.3508676,0.44039103,0.62122285,0.71442294,0.0,0.25109345,0.46829695,0.5148711,0.530681,0.8107176,0.22976537,0.3904264,0.0,0.05783599,0.6028262,0.0,0.5107985,0.4987441,0.36685523,0.5035269,0.31104714,0.23351632
peanutbutterfalcon,0.72320545,0.6795828,0.814514,0.0,0.03729465,0.0,0.7266496,0.0,0.0,0.2802041,0.52546847,0.80750406,0.0,0.0,0.0,0.13762274,0.35809445,1.0046085,0.08617472,0.40196472,0.0,0.0,0.0,0.6590355,0.8269701,0.0,0.13808095,0.7863867,0.0,0.0
petsematarymovie,1.1315342,1.5412357,1.3360689,0.49357608,0.0,1.111231,0.5704881,1.0342544,0.7752049,1.1288222,1.0231947,1.2435045,0.0,0.39189336,0.9308219,1.0853555,0.60736006,1.4213339,0.5022169,0.6426783,0.0,0.32223517,1.347642,0.0,1.0900227,0.78462195,0.60451984,0.9867669,0.6510941,0.6968532
piercingmovie,1.2468641,1.6996021,1.4137609,0.0,0.0,0.45243877,0.1865209,1.2111764,0.0,0.23762809,0.66617954,1.1249708,0.0,0.066693105,0.0,0.51696956,0.22805358,1.7643665,0.37279028,0.033295188,0.0,0.0,0.4834088,0.0,1.0940033,0.3626748,0.6097764,0.6904533,0.0,0.0
playingwithfire,1.3674909,1.5851719,1.3161552,0.6235334,0.0,1.4076003,0.48574123,1.161292,1.0026182,1.3282098,1.3561968,1.6053962,0.0,0.88297915,1.3075788,0.81307584,0.87429035,1.4374517,0.59414905,0.60588527,0.0,0.30265242,1.3626748,0.0,1.1722063,0.9568527,0.5336691,1.0573709,0.657492,0.49513713
playmobilthemovie,0.88687396,1.4971168,1.298214,0.4567403,0.0,1.0939671,0.45901862,0.97050154,0.7156852,0.8292765,1.0803915,1.2078665,0.0,0.39413312,0.38105112,1.0198655,0.5274491,1.5076674,0.2349628,0.68497944,0.0,0.14529759,1.2676564,0.0,0.9452511,0.5972798,0.5881002,0.92420745,0.41907805,0.47506282
