movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
brightburnmovie,0.0,0.35534576,0.737997,0.9142303,1.0307631,1.56462,1.1736054,1.1427274,2.1055553,1.3959432
brittanyrunsmov,0.0,0.2643431,0.44982618,0.5131131,0.82830906,0.8195046,0.81253123,0.5859606,1.1014736,0.8699688
captainmarvelofficial,0.0,0.19377077,0.8035866,0.8115067,0.8183229,1.0860502,1.0963416,1.032683,1.3482311,1.0783865
captivestatemovie,0.0,0.40722597,0.9225091,0.7959426,1.412807,1.2964113,1.3216414,1.2093335,2.0325048,1.5410616
catsmovie,0.0,0.8164849,0.49193734,1.1526159,1.3112895,1.9185474,1.2833478,1.6784898,2.629466,1.5517504
charliesangels,0.0,0.93773085,1.063745,1.5352387,2.3584623,2.7558591,1.9671171,1.8802712,3.583189,2.4754865
childsplaymovie,0.0,0.13476184,1.1382376,1.0657786,1.9785386,1.9417441,2.2238193,1.6927626,4.1620755,2.6603098
clarathefilm,0.0,0.0,0.6244404,0.6013601,0.67112887,1.3319578,1.1612288,0.77326703,2.3689787,1.7950993
coldpursuitmovie,0.0,0.1965287,0.5593697,0.56644297,0.6381045,0.8253645,0.8168342,0.6251736,1.034508,0.76117945
countdown,0.0,0.41446784,0.80333847,0.970177,1.4279448,1.5014567,1.1915619,1.3261516,2.6537654,1.726381
currentwarmovie,0.0,0.39325544,0.8951535,1.0093272,1.3762765,1.7429628,1.3553953,1.240295,2.2619674,1.6190443
darkwatersmovie,0.0,0.7307716,0.806017,0.94960934,1.431448,1.9532998,1.4269414,1.7293528,2.730053,1.8156255
detectivepikachumovie,0.0,0.55919856,0.857304,1.222572,1.2903775,1.7131393,1.4471989,1.6655136,1.681881,1.5419004
disneyaladdin,0.0,0.6423249,0.9062729,0.85254616,1.7351565,2.0133033,1.3408115,1.4918233,2.5428648,1.5879776
disneyfrozen,0.0,0.35135925,0.94253147,1.110311,1.7437226,2.075027,1.5663468,2.0356975,2.7324898,1.5594859
disneymaleficent,0.0,0.39819646,0.7820629,0.7050963,1.3795648,1.6900735,1.1750959,1.2454566,1.8772347,1.2485132
doctorsleepmovie,0.0,0.30956808,0.69139564,0.8863495,0.9732266,1.1040285,1.0908206,0.95882404,1.4073915,1.1253867
dolemiteismyname,0.0,0.40587988,1.1861668,1.0942233,1.8956068,2.1612186,1.415914,1.4248438,2.651956,2.004976
dontletgomovie,0.0,0.38237467,0.8841041,0.95129067,1.412834,1.5137916,1.4138912,1.1689447,1.9339883,1.2960289
doramovie,0.0,0.39799082,0.7393402,0.71336997,1.0540972,1.098428,1.3488406,1.1863264,1.7733407,1.3932782
downtonabbey_official,0.0,0.09438022,1.4936072,1.3786207,1.6687734,1.7488799,1.8810365,1.4674093,3.0636513,2.211658
dumbo,0.0,0.3521359,0.67078197,0.60431105,1.1788716,1.3875949,1.0360293,1.0734771,1.6191947,1.0669312
escaperoom,0.0,0.38168684,0.9055259,0.9751636,1.0932144,1.7799569,1.2963688,1.4154885,2.1919289,1.700499
everybodyknowsmovie,0.0,0.2065255,0.60542583,0.58701396,0.7857382,0.8095708,0.84387696,0.7348173,1.2704105,0.94925904
fastandfuriousmovie,0.0,0.5141808,1.3677602,1.3806058,1.7948337,1.9405591,1.8745284,2.3449295,3.0770345,2.1011286
fightingwmyfam,0.0,0.24226898,1.1622897,1.0623866,1.6035273,1.7999842,1.331428,1.5501505,2.6145768,2.006176
fivefeetapartfilm,0.0,0.5309248,0.9965917,1.027696,1.6014764,2.6493354,1.5208789,1.6947187,3.2009945,2.6502671
fordvferrari,0.0,0.08964106,0.46342742,0.54081374,0.7283609,0.92257714,0.8752011,0.8807852,1.061836,0.83111674
freaksthefilm,0.0,0.4021527,0.77636725,0.93511957,1.3470318,1.5138078,1.3260943,1.1538216,1.8274612,1.2734823
geminimanmovie,0.0,0.4311544,0.7367873,0.7243119,1.1984451,1.535861,1.1803105,1.3283356,2.1393495,1.5281093
